ref_area,measure,year,value
DEU,PR_INC_DISP,2012,8.4
DEU,PR_INC_DISP,2023,11.33
DEU,PR_INC_MRKT,2022,31.88
DEU,PR_INC_MRKT,2014,33.3
DEU,PR_INC_DISP,2022,11.62
DEU,PR_INC_DISP,2021,11.8
DEU,PR_INC_DISP,2020,11.56
DEU,PR_INC_DISP,2019,10.91
DEU,PR_INC_MRKT,2012,31.9
DEU,PR_INC_MRKT,2018,32.08
FRA,PR_INC_MRKT,2022,36.5
FRA,PR_INC_DISP,2023,8.7
FRA,PR_INC_DISP,2021,8.5
FRA,PR_INC_DISP,2020,7.7
FRA,PR_INC_MRKT,2023,36.1
FRA,PR_INC_MRKT,2021,36.8
BEL,PR_INC_MRKT,2022,32.4735
BEL,PR_INC_MRKT,2021,33.0026
FIN,PR_INC_MRKT,2023,34.6
FIN,PR_INC_MRKT,2022,34.1441
FIN,PR_INC_MRKT,2021,35.2258
FIN,PR_INC_MRKT,2019,33.5119
FIN,PR_INC_MRKT,2018,34.0014
FIN,PR_INC_MRKT,2017,34.172
FIN,PR_INC_MRKT,2016,34.3205
FIN,PR_INC_MRKT,2015,34.0834
BEL,PR_INC_MRKT,2020,33.4973
BEL,PR_INC_MRKT,2019,33.3297
BEL,PR_INC_MRKT,2018,33.138
FIN,PR_INC_DISP,2018,6.4598
FIN,PR_INC_DISP,2017,6.3377
FIN,PR_INC_DISP,2016,5.7596
FIN,PR_INC_DISP,2015,6.3026
FIN,PR_INC_DISP,2014,6.7907
FIN,PR_INC_DISP,2013,7.1368
FIN,PR_INC_DISP,2020,5.7
FIN,PR_INC_DISP,2012,6.5
FIN,PR_INC_DISP,2011,7.5
FIN,PR_INC_DISP,2010,7.2
FIN,PR_INC_DISP,2024,8.4064
FIN,PR_INC_DISP,2023,6.8
LVA,PR_INC_MRKT,2014,30.4992
LVA,PR_INC_MRKT,2013,30.8303
LVA,PR_INC_MRKT,2012,31.4032
LVA,PR_INC_MRKT,2011,32.458
LVA,PR_INC_MRKT,2010,34.9395
LVA,PR_INC_DISP,2019,16.2224
LVA,PR_INC_DISP,2018,17.4814
LVA,PR_INC_DISP,2017,16.5654
LVA,PR_INC_DISP,2016,16.7176
LVA,PR_INC_DISP,2015,16.2232
LVA,PR_INC_DISP,2014,16.429
LVA,PR_INC_DISP,2013,14.5294
LVA,PR_INC_DISP,2012,13.3336
LVA,PR_INC_DISP,2011,12.9387
LVA,PR_INC_DISP,2010,13.3417
LVA,PR_INC_MRKT,2023,27.9447
LVA,PR_INC_DISP,2023,16.1653
LVA,PR_INC_DISP,2022,16.8628
LVA,PR_INC_DISP,2021,15.9818
LVA,PR_INC_DISP,2020,16.8688
LVA,PR_INC_MRKT,2022,29.5468
LVA,PR_INC_MRKT,2021,29.7811
