ref_area,age,year,value
GRC,_T,2020,0.514373
GRC,_T,2021,0.502513
GRC,_T,2022,0.514258
GRC,_T,2023,0.506391
GRC,Y_GT65,2020,0.799659
GRC,Y_GT65,2021,0.777687
GRC,Y_GT65,2022,0.820771
GRC,Y_GT65,2023,0.81105
GRC,Y18T65,2003,0.399121
GRC,Y18T65,2006,0.453412
GRC,Y18T65,2007,0.444844
GRC,Y18T65,2008,0.44832
GRC,Y18T65,2009,0.455517
GRC,Y18T65,2010,0.472959
GRC,Y18T65,2011,0.498523
GRC,Y18T65,2012,0.510354
GRC,Y18T65,2013,0.485575
GRC,Y18T65,2014,0.483009
GRC,Y18T65,2015,0.491831
GRC,Y18T65,2016,0.475405
GRC,Y18T65,2017,0.467447
GRC,Y18T65,2018,0.454735
GRC,Y18T65,2019,0.453482
GRC,Y18T65,2020,0.446629
GRC,Y18T65,2021,0.433902
GRC,Y18T65,2022,0.437097
GRC,Y18T65,2023,0.426134
GRC,_T,2003,0.452361
GRC,_T,2006,0.502711
GRC,Y_GT65,2009,0.766038
GRC,Y_GT65,2010,0.801048
GRC,Y_GT65,2011,0.821119
GRC,Y_GT65,2012,0.83391
GRC,Y_GT65,2013,0.81331
GRC,Y_GT65,2014,0.81502
GRC,Y_GT65,2015,0.81137
GRC,Y_GT65,2016,0.820728
GRC,Y_GT65,2017,0.804442
GRC,Y_GT65,2018,0.802725
ISR,Y18T65,2023,0.429363
IRL,_T,2006,0.510768
IRL,_T,2007,0.512818
IRL,_T,2008,0.537632
IRL,_T,2009,0.579227
IRL,_T,2011,0.567028
IRL,_T,2012,0.579877
IRL,_T,2013,0.575835
IRL,_T,2014,0.549026
IRL,_T,2015,0.544683
IRL,_T,2016,0.54259
IRL,_T,2017,0.535391
IRL,_T,2018,0.495267
IRL,_T,2019,0.492948
IRL,_T,2020,0.508312
IRL,_T,2021,0.494217
IRL,_T,2022,0.492889
IRL,_T,2023,0.477166
IRL,Y_GT65,2010,0.837727
IRL,_T,2010,0.577466
IRL,Y18T65,2010,0.53466
IRL,Y_GT65,2019,0.800396
IRL,Y_GT65,2020,0.814041
IRL,Y_GT65,2021,0.786973
IRL,Y_GT65,2022,0.78769
IRL,Y_GT65,2023,0.762299
IRL,Y18T65,2011,0.531323
IRL,Y18T65,2012,0.542611
IRL,Y18T65,2013,0.534379
IRL,Y18T65,2014,0.505808
IRL,Y18T65,2015,0.496821
IRL,Y18T65,2016,0.493394
IRL,Y18T65,2017,0.481212
IRL,Y18T65,2018,0.451163
IRL,Y18T65,2019,0.442804
IRL,Y18T65,2020,0.454532
IRL,Y18T65,2021,0.442535
IRL,Y18T65,2022,0.437404
IRL,Y18T65,2023,0.427766
IRL,Y18T65,2003,0.449063
IRL,Y18T65,2004,0.452827
IRL,Y18T65,2005,0.460869
IRL,Y18T65,2006,0.463163
IRL,Y18T65,2007,0.46516
IRL,Y18T65,2008,0.486643
IRL,Y18T65,2009,0.532942
IRL,Y_GT65,2007,0.815522
IRL,Y_GT65,2008,0.837543
IRL,Y_GT65,2009,0.850408
IRL,Y_GT65,2011,0.845682
IRL,Y_GT65,2012,0.85096
IRL,Y_GT65,2013,0.840428
IRL,Y_GT65,2014,0.83494
IRL,Y_GT65,2015,0.834455
IRL,Y_GT65,2016,0.818681
IRL,Y_GT65,2017,0.830927
IRL,Y_GT65,2018,0.721002
IRL,Y_GT65,2003,0.812907
IRL,Y_GT65,2004,0.834663
IRL,Y_GT65,2005,0.824792
IRL,Y_GT65,2006,0.776088
IRL,_T,2003,0.498182
IRL,_T,2004,0.509463
ISL,Y_GT65,2006,0.724341
ISL,Y18T65,2007,0.331985
ISL,Y18T65,2008,0.351417
ISL,Y18T65,2009,0.344219
ISL,Y18T65,2010,0.353498
ISL,Y18T65,2011,0.354271
ISL,Y18T65,2014,0.344077
ISL,Y18T65,2015,0.330867
ISL,Y18T65,2019,0.326993
ISL,_T,2003,0.367771
ISL,_T,2004,0.370016
ISL,_T,2005,0.377413
ISL,_T,2006,0.386406
ISL,_T,2007,0.37925
ISL,_T,2008,0.38714
ISL,_T,2009,0.382227
ISL,_T,2010,0.398454
ISL,_T,2011,0.404154
ISL,_T,2012,0.396629
ISL,_T,2013,0.383253
ISL,_T,2014,0.399785
ISL,_T,2015,0.385016
ISL,_T,2016,0.38162
ISL,_T,2017,0.369011
ISL,_T,2018,0.388665
ISL,_T,2019,0.383873
ISL,Y18T65,2012,0.34536
ISL,Y18T65,2013,0.333839
ISL,Y18T65,2016,0.325893
ISL,Y18T65,2017,0.31728
ISL,Y18T65,2003,0.326149
ISL,Y18T65,2004,0.326402
ISL,Y_GT65,2004,0.70702
ISL,Y_GT65,2016,0.709164
ISL,Y_GT65,2017,0.717092
ISL,Y_GT65,2018,0.72547
ISL,Y_GT65,2019,0.729906
ISL,Y_GT65,2003,0.726966
ISL,Y_GT65,2007,0.707251
ISL,Y_GT65,2008,0.646864
LVA,Y18T65,2009,0.450984
LVA,_T,2010,0.51611
LVA,_T,2011,0.511605
KOR,Y18T65,2017,0.373
KOR,Y_GT65,2017,0.564
KOR,Y_GT65,2018,0.56
KOR,Y18T65,2018,0.366
KOR,_T,2018,0.402
KOR,_T,2019,0.404
KOR,Y18T65,2019,0.362
KOR,Y_GT65,2019,0.554
KOR,Y_GT65,2020,0.554
KOR,Y18T65,2020,0.365
KOR,_T,2020,0.405
KOR,_T,2021,0.405
KOR,Y18T65,2021,0.365
KOR,Y_GT65,2021,0.552
KOR,Y_GT65,2022,0.551
KOR,Y18T65,2022,0.355
KOR,_T,2022,0.396
KOR,_T,2023,0.392
